Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews,Column1,Column2,Column3
12708354,VIMAL,Inner Wear &  Sleep Wear,lounge-pants,Men,881,1798,51% OFF,"S, M, L, XL, XXL",4.1,928,51%,OFF,916.98
8974413,Janasya,Indian Wear,kurta-sets,Women,1644,4699,65% OFF,"XS, S, M, L, XL, XXL, 3XL",4.3,928,65%,OFF,3054.35
8935419,Miss Chase,Western,tops,Women,,1649,60% OFF,"XS, S, M, L, XL",4.2,928,60%,OFF,989.4
13077152,Mast & Harbour,Bottom Wear,jeans,Men,599,1499,60% OFF,"28, 30, 32, 34, 36",3.8,927,60%,OFF,899.4
13861878,HIGHLANDER,Topwear,shirts,Men,516,1099,53% OFF,"39, 40, 42, 44",4.3,927,53%,OFF,582.47
14205782,HIGHLANDER,Topwear,shirts,Men,563,1199,53% OFF,"39, 40, 42, 44",3.8,927,53%,OFF,635.47
11883168,DressBerry,Lingerie & Sleep Wear,bra,Women,909,1399,35% OFF,"32B, 32C, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 38D",4.4,927,35%,OFF,489.65
11037088,HRX by Hrithik Roshan,Sports Wear,tshirts,Women,404,899,55% OFF,"XS, S, M, L, XL",4.3,927,55%,OFF,494.45
12876318,Tokyo Talkies,Western,jeans,Women,,1699,58% OFF,"26, 28, 30, 32, 34",4.3,927,58%,OFF,985.42
10463770,DressBerry,Western,dresses,Women,,1999,50% OFF,"XS, S, M, L, XL",4.3,927,50%,OFF,999.5
2290042,HIGHLANDER,Bottom Wear,trousers,Men,604,1549,61% OFF,"30, 32, 34, 36",4,926,61%,OFF,944.89
8106703,HIGHLANDER,Bottom Wear,trousers,Men,554,1499,63% OFF,"30, 32, 34, 36",3.8,926,63%,OFF,944.37
10852560,XYXX,Inner Wear &  Sleep Wear,lounge-pants,Men,629,769,Rs. 140 OFF,"S, M, L, XL",4.1,926,,140,140
8301909,Mast & Harbour,Topwear,tshirts,Men,449,899,50% OFF,"S, M, L, XL",4.2,926,50%,OFF,449.5
8829435,Roadster,Topwear,tshirts,Men,449,899,50% OFF,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.3,926,50%,OFF,449.5
12048344,Inddus,Indian Wear,sarees,Women,2589,6999,63% OFF,Onesize,4.4,926,63%,OFF,4409.37
2190882,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,686,915,25% OFF,"XS, S, M, L, XL, XXL",4,926,25%,OFF,228.75
11489668,Roadster,Western,jeggings,Women,,1299,45% OFF,"26, 28, 30, 32, 34, 36",4.3,926,45%,OFF,584.55
2368774,Roadster,Western,dresses,Women,,1399,60% OFF,"XS, S, M, L, XL, XXL",3.9,926,60%,OFF,839.4
12212310,HRX by Hrithik Roshan,Bottom Wear,shorts,Men,679,1699,60% OFF,"28, 30, 32, 34, 36",4.3,925,60%,OFF,1019.4
9168503,U.S. Polo Assn.,Inner Wear &  Sleep Wear,boxers,Men,,599,,"S, M, L",3.9,925,,, 
10803222,Anouk,Topwear,kurtas,Men,599,1499,60% OFF,"S, M, L, XL, XXL",3.8,925,60%,OFF,899.4
2444566,Mast & Harbour,Topwear,shirts,Men,1209,2199,45% OFF,"38, 40, 42, 44",3.6,925,45%,OFF,989.55
11735666,her by invictus,Western,tops,Women,,699,50% OFF,"S, M, L, XL, XXL",4.3,925,50%,OFF,349.5
13377766,Harpa,Western,tops,Women,,999,47% OFF,"XS, S, M, L, XL",4.2,925,47%,OFF,469.53
1912701,HRX by Hrithik Roshan,Bottom Wear,track-pants,Men,1104,1699,35% OFF,"S, M, L, XL, XXL",3.9,924,35%,OFF,594.65
13819100,Bewakoof,Topwear,tshirts,Men,449,499,10% OFF,"S, M, L, XL, XXL, 3XL",4.1,924,10%,OFF,49.9
11398830,Roadster,Western,tshirts,Women,,799,65% OFF,"XS, S, M, L, XL",4,924,65%,OFF,519.35
1396021,Roadster,Topwear,tshirts,Men,629,1399,55% OFF,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,923,55%,OFF,769.45
11183816,DressBerry,Western,dresses,Women,,1999,60% OFF,"XS, S, M, L, XL",4.1,923,60%,OFF,1199.4
13250072,Indo Era,Indian Wear,kurta-sets,Women,1563,3399,54% OFF,"XS, S, M, L, XL, XXL",4.4,922,54%,OFF,1835.46
7688063,HRX by Hrithik Roshan,Sports Wear,tshirts,Women,584,1299,55% OFF,"XS, S, M, L, XL",4.4,922,55%,OFF,714.45
13916976,Miss Chase,Western,tops,Women,,2549,61% OFF,"XS, S, M, L, XL",4.1,922,61%,OFF,1554.89
12292256,Tokyo Talkies,Western,trousers,Women,,999,48% OFF,"28, 30, 32, 34",3.8,922,48%,OFF,479.52
6849362,Roadster,Topwear,shirts,Men,854,1899,55% OFF,"38, 40, 42, 44",4.2,921,55%,OFF,1044.45
13415698,AHIKA,Indian Wear,kurta-sets,Women,1678,3997,58% OFF,"XS, S, M, L, XL, XXL, 3XL, 4XL",4,921,58%,OFF,2318.26
16331376,Anubhutee,Indian Wear,kurta-sets,Women,1861,4899,62% OFF,"S, M, L, XL, XXL",4.1,921,62%,OFF,3037.38
12965938,Domyos By Decathlon,Lingerie & Sleep Wear,lounge-pants,Women,,799,,"XS, S, M, L, XL, XXL, 3XL",4.5,921,,, 
17385514,Roadster,Western,tshirts,Women,,1398,50% OFF,"XS, S, M, L, XL",4.1,921,50%,OFF,699
7255283,Kook N Keech,Western,jeans,Women,,1899,60% OFF,"26, 28, 30, 32, 34",4.2,921,60%,OFF,1139.4
6831717,Roadster,Western,jeans,Women,,2099,65% OFF,"26, 28, 30, 32, 34, 36",4,921,65%,OFF,1364.35
14154082,Tokyo Talkies,Western,track-pants,Women,,999,53% OFF,"S, M, L, XL",4.2,921,53%,OFF,529.47
10248053,U.S. Polo Assn.,Inner Wear &  Sleep Wear,briefs,Men,,319,,"S, M, L",3.7,920,,, 
10054361,Yuris,Indian Wear,kurtas,Women,659,1199,45% OFF,"S, M, L, XL, XXL, 3XL",4.3,920,45%,OFF,539.55
13007406,HERE&NOW,Plus Size,kurtas,Women,389,1299,70% OFF,"XS, S, M, L, XL, XXL, 3XL",4.2,920,70%,OFF,909.3
10926786,Kook N Keech,Western,tshirts,Women,,1099,55% OFF,"XS, S, M, L, XL",4.4,920,55%,OFF,604.45
17381626,Roadster,Western,tshirts,Women,,1798,50% OFF,"XS, S, M, L, XL",4.4,920,50%,OFF,899
10662122,TAG 7,Western,leggings,Women,,2299,66% OFF,"S, M, L, XL, XXL, 3XL, 4XL",4.1,920,66%,OFF,1517.34
17381454,Roadster,Western,tshirts,Women,,1098,,"XS, S, M, L, XL",4.2,920,,, 
5597189,Vishudh,Indian Wear,kurtas,Women,492,1449,66% OFF,"S, M, L, XL, XXL",3.9,919,66%,OFF,956.34
12488786,Varanga,Indian Wear,kurtas,Women,724,2499,71% OFF,"S, M, L, XL, XXL",4,919,71%,OFF,1774.29
13437250,Sangria,Indian Wear,kurta-sets,Women,979,2799,65% OFF,"XS, S, M, L, XL, XXL, 3XL",4,919,65%,OFF,1819.35
8091637,Roadster,Western,jeans,Women,,1599,45% OFF,"26, 28, 30, 32, 34, 36",4.1,919,45%,OFF,719.55
13315066,Roadster,Western,jeans,Women,,2299,50% OFF,"26, 28, 30, 32, 34, 36",4.3,919,50%,OFF,1149.5
6697880,ether,Western,jackets,Women,,2499,65% OFF,"S, M, L, XL",4.3,919,65%,OFF,1624.35
1757662,Hubberholme,Bottom Wear,track-pants,Men,449,999,55% OFF,"S, M, L, XL, XXL, 3XL, 4XL",3.5,918,55%,OFF,549.45
11938226,Vishudh,Indian Wear,kurta-sets,Women,805,4029,80% OFF,"S, M, L, XL, XXL",3.9,918,80%,OFF,3223.2
11373682,Roadster,Western,tops,Women,,599,55% OFF,"XS, S, M, L, XL",4.2,918,55%,OFF,329.45
9575361,Roadster,Bottom Wear,jeans,Men,,1699,,"28, 30, 32, 34, 36",3.8,917,,, 
10986404,Mast & Harbour,Inner Wear &  Sleep Wear,socks,Men,374,499,25% OFF,Onesize,4.3,917,25%,OFF,124.75
11896050,Roadster,Topwear,shirts,Men,714,1299,45% OFF,"38, 40, 42, 44",4.4,917,45%,OFF,584.55
8621731,Anouk,Indian Wear,kurtas,Women,809,1799,55% OFF,"XS, S, M, L, XL",4,917,55%,OFF,989.45
11629168,Myshka,Indian Wear,dresses,Women,959,2999,68% OFF,"S, M, L, XL, XXL",4.1,917,68%,OFF,2039.32
17381478,Roadster,Western,tshirts,Women,,1198,50% OFF,"XS, S, M, L, XL",4.2,917,50%,OFF,599
7645398,her by invictus,Western,tops,Women,,1499,55% OFF,"S, M, L, XL, XXL",4.3,917,55%,OFF,824.45
11274626,Roadster,Bottom Wear,jeans,Men,1079,1799,40% OFF,"28, 30, 32, 34, 36, 38, 40",4,916,40%,OFF,719.6
10560802,Sangria,Plus Size,kurtas,Women,439,1099,"60% OFF, Hurry*","XS, S, M, L, XL, XXL, 3XL",4.1,916,60%,OFF,659.4
